,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
119,Andre Hal,CB,188.0,4.5,35.5,119.0,7.14,4.27,20.0,216.0,152.4
144,Bennett Jackson,CB,195.0,4.51,38.0,128.0,6.75,4.0,0.0,187.0,182.88
157,Dontae Johnson,CB,200.0,4.41,38.5,124.0,6.82,4.24,10.0,129.0,187.96
165,Lamarcus Joyner,CB,184.0,4.55,37.5,124.0,7.26,4.4,18.0,41.0,172.72
177,Nevin Lawson,CB,190.0,4.48,33.0,120.0,7.12,4.4,17.0,133.0,175.26
212,Keith McGill,CB,211.0,4.51,39.0,129.0,7.29,4.18,8.0,116.0,190.5
218,Terrance Mitchell,CB,192.0,4.63,34.0,117.0,6.57,4.0,1.0,254.0,154.94
318,Jason Verrett,CB,189.0,4.38,39.0,128.0,6.69,4.0,12.0,25.0,175.26
41,Alex Carter,CB,196.0,4.51,40.0,121.0,7.05,4.07,0.0,80.0,182.88
59,Jalen Collins,CB,203.0,4.48,36.0,124.0,6.77,4.27,6.0,42.0,185.42000000000002
71,Ronald Darby,CB,193.0,4.38,41.5,129.0,6.94,4.14,22.0,50.0,154.94
85,Quandre Diggs,CB,196.0,4.56,35.5,113.0,7.22,4.15,17.0,200.0,175.26
89,Lorenzo Doss,CB,182.0,4.5,33.5,115.0,7.2,4.26,0.0,164.0,152.4
113,Charles Gaines,CB,180.0,4.44,34.5,123.0,7.07,4.2,2.0,189.0,152.4
173,Kevin Johnson,CB,188.0,4.52,41.5,130.0,6.79,3.89,10.0,16.0,182.88
180,Byron Jones,CB,199.0,4.43,44.5,147.0,6.78,3.94,32.0,27.0,185.42000000000002
198,Craig Mager,CB,201.0,4.44,38.0,130.0,6.83,4.07,8.0,83.0,154.94
212,Bobby McCain,CB,195.0,4.51,36.0,130.0,6.8,3.82,16.0,145.0,175.26
223,Steven Nelson,CB,197.0,4.49,34.5,115.0,6.88,4.07,19.0,98.0,152.4
238,Marcus Peters,CB,197.0,4.53,37.5,121.0,7.08,4.08,58.0,18.0,182.88
260,Quinten Rollins,CB,195.0,4.57,36.5,122.0,7.1,4.28,14.0,62.0,154.94
262,Eric Rowe,CB,205.0,4.45,39.0,125.0,6.7,3.97,11.0,47.0,185.42000000000002
271,Josh Shaw,CB,201.0,4.44,37.5,130.0,7.01,4.12,7.0,120.0,182.88
280,D'Joun Smith,CB,187.0,4.37,36.0,124.0,6.96,4.26,0.0,65.0,152.4
285,Tye Smith,CB,195.0,4.6,36.5,124.0,6.97,3.96,6.0,170.0,182.88
309,Trae Waynes,CB,186.0,4.31,38.0,122.0,7.06,4.39,20.0,11.0,182.88
318,P.J. Williams,CB,194.0,4.57,40.0,132.0,7.08,4.28,12.0,78.0,182.88
30,James Bradberry,CB,211.0,4.5,36.0,124.0,6.91,4.21,31.0,62.0,185.42000000000002
37,Anthony Brown,CB,192.0,4.33,35.0,115.0,7.03,4.19,17.0,189.0,154.94
43,Juston Burris,CB,212.0,4.53,36.5,122.0,7.1,4.4,3.0,118.0,182.88
51,Maurice Canady,CB,193.0,4.49,38.0,124.0,7.03,4.09,4.0,209.0,185.42000000000002
76,Sean Davis,CB,201.0,4.46,37.5,126.0,6.64,3.97,19.0,58.0,185.42000000000002
137,Xavien Howard,CB,201.0,4.58,33.0,122.0,7.18,4.15,37.0,38.0,182.88
159,Cyrus Jones,CB,197.0,4.49,33.0,116.0,6.71,4.21,6.0,60.0,152.4
213,Harlan Miller,CB,182.0,4.65,35.5,118.0,7.44,4.43,3.0,205.0,182.88
222,Eric Murray,CB,199.0,4.49,39.5,124.0,7.08,4.05,11.0,106.0,154.94
253,Jalen Ramsey,CB,209.0,4.41,41.5,135.0,6.94,4.18,43.0,5.0,185.42000000000002
280,Leshaun Sims,CB,203.0,4.53,37.0,120.0,7.08,4.19,12.0,157.0,182.88
285,Ryan Smith,CB,189.0,4.47,36.0,122.0,6.88,4.09,9.0,108.0,154.94
323,D.J. White,CB,193.0,4.49,33.0,132.0,7.18,4.33,2.0,178.0,154.94
328,Brandon Williams,CB,197.0,4.37,30.5,118.0,6.85,4.19,8.0,92.0,154.94
333,Daryl Worley,CB,204.0,4.64,35.5,123.0,6.98,4.15,20.0,77.0,185.42000000000002
335,Tavon Young,CB,183.0,4.46,34.5,118.0,6.8,3.93,20.0,104.0,175.26
